id,issuetype,key,assignee,priority,status,resolution,sprint,originalestimate,timespent,rca
268979,New Feature,RESSMB-7286,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,No longer applicable,Sprint 241 (AUG 06 - AUG 19),0,,None
285028,New Feature,RESSMB-7278,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),21600,18000,None
316693,Improvement,PREDM-1759,jinyan.liu,"P2 - Critical, but workaround exists",Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),7200,10800,None
316963,Improvement,PREDM-1752,henry.hom,"P2 - Critical, but workaround exists",Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),14400,14400,None
321744,Improvement,PREDM-1767,henry.hom,P1 - Urgent with no workaround,Resolved,Fixed,Sprint 247 (OCT 29 - NOV 11),14400,18000,None
317347,Improvement,PREDM-1766,skandh.pathak,"P2 - Critical, but workaround exists",Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),14400,14400,None
140330,Task,ENGR-1172,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,14400,,
141659,Improvement,ENGR-660,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,14400,,
310281,Bug,PLAT-14694,mohamad.arabi,P0 - Blocker,Closed-Verified,Duplicate,Sprint 246 (OCT 15 - OCT 28),0,,No longer applicable
318052,New Feature,LCI-2736,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),7200,10800,None
306798,Improvement,PREDM-1719,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,21600,None
318821,Improvement,IO-1037,henry.hom,P1 - Urgent with no workaround,Closed,Fixed,"Sprint 246 (OCT 15 - OCT 28),Sprint 247 (OCT 29 - NOV 11)",10800,3600,None
313540,Improvement,IO-1106,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),10800,10800,None
321865,New Feature,LCI-2748,henry.hom,Unprioritized,Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),7200,7200,None
315479,New Feature,LCI-2751,henry.hom,Unprioritized,Open,,Sprint 247 (OCT 29 - NOV 11),7200,,None
109289,Task,ENGR-675,chen.liu,"P2 - Critical, but workaround exists",Open,,2017 Engineering Plan,10800,,
166800,Bug,ENGR-1214,chen.liu,"P2 - Critical, but workaround exists",Open,,2017 Engineering Plan,14400,,
109610,Bug,ENGR-880,chen.liu,"P2 - Critical, but workaround exists",Open,,2017 Engineering Plan,,,
109237,Task,ENGR-572,chen.liu,P1 - Urgent with no workaround,Open,,2017 Engineering Plan,,18000,
307053,New Feature,IO-972,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),43200,57600,None
303880,Improvement,IO-855,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),21600,27000,None
301518,Improvement,PREDM-1702,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Done,Sprint 244 (SEP 17 - SEP 30),21600,27000,None
282346,Improvement,ENGR-2212,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),21600,25200,None
304909,Improvement,IO-1077,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1800,1800,None
315491,Improvement,PREDM-1757,jinyan.liu,"P2 - Critical, but workaround exists",Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),14400,28800,None
319802,Improvement,PREDM-1755,skandh.pathak,"P2 - Critical, but workaround exists",Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),14400,14400,None
317401,Task,ENGR-2617,henry.hom,Unprioritized,Open,,Sprint 247 (OCT 29 - NOV 11),21600,,None
280389,Bug,LCI-2614,mohamad.arabi,P0 - Blocker,Closed-Verified,Fixed,Sprint 242 (AUG 20 - SEP 02 ),14400,19800,The cause for this bug was the UIViewLCIFacilityDisaggregation component was using functions namely `$.` methods from a file that was not moved over by components as type migration . The file that was not migrated is: https://github.com/c3-e/c3ui/blob/f8952dfef2d88024bd56b4a5b5deb6d228fe0d39/assets/javascripts/helpers.js
295570,Improvement,ENGR-2213,chen.liu,P1 - Urgent with no workaround,Closed,Done,"Sprint 243 (SEP 03 - SEP 16),Sprint 244 (SEP 17 - SEP 30)",10800,21600,None
326088,New Feature,LCI-2743,mohamad.arabi,P1 - Urgent with no workaround,In Progress,,Sprint 247 (OCT 29 - NOV 11),14400,,None
324803,New Feature,LCI-2738,skandh.pathak,P1 - Urgent with no workaround,In Progress,,Sprint 247 (OCT 29 - NOV 11),10800,,None
303456,Improvement,PREDM-1722,henry.hom,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,14400,Data was not present in demo so data did not show up. Added test to ensure that component is working properly.
303570,Task,PREDM-1743,henry.hom,Unprioritized,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),7200,7200,None
290613,Improvement,LCI-2663,mohamad.arabi,"P2 - Critical, but workaround exists",Closed-Verified,Fixed,Sprint 243 (SEP 03 - SEP 16),10800,10800,None
304324,Improvement,PREDM-1736,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),18000,25200,None
303807,Improvement,PREDM-1735,mohamad.arabi,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 245 (OCT 01 - OCT 14),14400,34200,None
318048,New Feature,IO-1102,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),7200,7200,None
314315,New Feature,IO-1118,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),10800,10800,None
315085,New Feature,IO-1115,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),10800,10800,None
313699,New Feature,IO-1041,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),10800,10800,None
314774,Improvement,IO-1038,skandh.pathak,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),14400,14400,None
316713,Improvement,IO-1099,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 246 (OCT 15 - OCT 28),7200,7200,None
137773,Bug,TOOLS-3771,chen.liu,"P2 - Critical, but workaround exists",Open,,2017 Engineering Plan,,,
307903,Improvement,IO-1064,mohamad.arabi,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1800,1800,None
308138,Improvement,IO-1065,mohamad.arabi,P1 - Urgent with no workaround,Closed,Fixed,Sprint 245 (OCT 01 - OCT 14),1800,1800,None
308812,Task,IO-1069,mohamad.arabi,P1 - Urgent with no workaround,Closed,No longer applicable,Sprint 245 (OCT 01 - OCT 14),,,None
325818,New Feature,IO-1152,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 247 (OCT 29 - NOV 11),18000,21600,None
322608,New Feature,IO-1039,mohamad.arabi,P1 - Urgent with no workaround,In Review,,Sprint 247 (OCT 29 - NOV 11),10800,7200,None
322029,New Feature,IO-1114,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,Sprint 247 (OCT 29 - NOV 11),10800,25200,None
308357,Bug,BUILD-18376,mohamad.arabi,P0 - Blocker,Closed-Verified,No longer applicable,"Sprint 245 (OCT 01 - OCT 14),Sprint 246 (OCT 15 - OCT 28)",,,None
268094,Task,UI-4062,jinyan.liu,P1 - Urgent with no workaround,Closed,Fixed,"Sprint 235 (MAY 14 - MAY 27),Sprint 236 (MAY 28 - JUN 10),Sprint 237 (JUN 11 - JUN 24),Sprint 238 (JUN 25 - JUL 08),Sprint 240 (JUL 23 - AUG 05),Sprint 241 (AUG 06 - AUG 19)",28800,61200,None
316913,Epic,ENGR-2551,jinyan.liu,"P2 - Critical, but workaround exists",Closed-Verified,Fixed,Sprint 246 (OCT 15 - OCT 28),,,None
272989,Bug,LCI-2597,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 241 (AUG 06 - AUG 19),21600,21600,"The Project page in energyManagement doesn't work in release/v7.7 either. The Project page is overwritten in c3customer by SDGE, Cisco, Pella, so this problem hasn't been discovered."
119969,Bug,ENGR-1057,chen.liu,Unprioritized,Open,,2017 Engineering Plan,14400,,
297823,Improvement,IO-863,jinyan.liu,P1 - Urgent with no workaround,Closed-Verified,Fixed,Sprint 244 (SEP 17 - SEP 30),14400,14400,None
